Health: 184.000000, Speed: 0.243863, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 200.000000, Speed: 0.200000, Firerate: 2.861632
Health: 188.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 2.820188
Health: 184.000000, Speed: 0.200000, Firerate: 3.336296
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.381585
Health: 185.000000, Speed: 0.200000, Firerate: 2.804337
Health: 184.000000, Speed: 0.200000, Firerate: 3.391818
Health: 184.000000, Speed: 0.200000, Firerate: 3.004102
Health: 185.000000, Speed: 0.200000, Firerate: 3.194638
Health: 188.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.004102
Health: 188.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.156783
Health: 185.000000, Speed: 0.200000, Firerate: 3.477270
Health: 184.000000, Speed: 0.200000, Firerate: 3.194638
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 187.000000, Speed: 0.200000, Firerate: 3.004102
Health: 184.000000, Speed: 0.200000, Firerate: 3.194638
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.004102
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.357594
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.013907
Health: 184.000000, Speed: 0.200000, Firerate: 3.013907
Health: 184.000000, Speed: 0.214542, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.004102
Health: 184.000000, Speed: 0.200000, Firerate: 3.013907
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.471246
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.471246
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.149220
Health: 184.000000, Speed: 0.200000, Firerate: 2.803482
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.498441
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 2.944029
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.477013
Health: 185.000000, Speed: 0.200000, Firerate: 3.498441
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 188.000000, Speed: 0.240674, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.495300
Health: 184.000000, Speed: 0.238308, Firerate: 3.471246
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.246167, Firerate: 3.471246
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 184.000000, Speed: 0.200000, Firerate: 3.148537
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.471246
Health: 190.000000, Speed: 0.200000, Firerate: 3.471246
Health: 185.000000, Speed: 0.200000, Firerate: 3.471246
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.206539, Firerate: 3.322538
Health: 184.000000, Speed: 0.212963, Firerate: 3.148537
Health: 185.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.106858
Health: 185.000000, Speed: 0.200000, Firerate: 3.471246
Health: 188.000000, Speed: 0.200000, Firerate: 3.300812
Health: 184.000000, Speed: 0.212963, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.304678
Health: 185.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.210532
Health: 185.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 189.000000, Speed: 0.200000, Firerate: 3.130399
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 189.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.116236
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.128541
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.212963, Firerate: 3.132130
Health: 184.000000, Speed: 0.200000, Firerate: 3.132130
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.202927
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.202927
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 186.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.144841
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.138560
Health: 184.000000, Speed: 0.200000, Firerate: 3.138560
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.214718, Firerate: 2.996069
